HC58I,0.29,0.58,1.01,1.09,1.14,1.45,2.16,2.21,2.34,3.3,4.05,4.21,5.02,5.18,5.41,5.49,6.21,7.38,7.56,9.12,9.13,9.26,9.44,9.57,9.58,10.27,10.45,11.25
HC59I,0.23,0.38,0.38,0.58,1.18,1.46,2.32,2.46,3.19,4.1,4.43,4.54,5.35,6.06,6.31,6.51,7.18,9.21,10.08,11.29,11.51,12.04,12.25,12.32,12.33,12.5,13.07,13.57
HC60I,0.45,0.55,1.11,1.54,2.25,3.14,3.52,4.01,4.44,5.41,6.28,6.35,7.12,7.31,7.57,8.26,9.24,11.27,12.52,13.51,14.25,14.38,15.14,15.22,15.23,15.37,16.07,17.31
HC61I,0.28,1.19,1.2,2.54,2.56,4.05,5.09,5.2,5.41,7.16,7.51,8.01,8.59,9.41,10.23,11.11,11.56,14.23,15.25,17.13,17.16,17.32,17.57,18.26,18.27,18.56,19.29,21.15
HC62I,0.39,0.48,1,1.11,1.36,2.23,3.12,3.19,4.21,5.12,5.59,6.1,6.41,7.02,7.38,7.54,8.34,10.48,11.41,12.36,13.01,13.15,13.4,13.46,13.49,14.06,14.33,15.23
HC63I,0.31,0.36,0.37,0.59,1.16,1.51,2.29,2.34,2.5,3.38,3.48,3.54,4.11,4.26,4.41,4.55,5.18,7.43,8.03,8.41,8.58,9.09,9.29,9.34,9.35,9.46,9.53,10.24
HC64I,0.4,0.46,0.59,1.09,1.29,2,2.26,2.34,2.58,3.57,4.19,4.31,4.48,5.08,5.27,5.59,6.38,8.47,9.33,10.23,10.39,10.55,11.14,11.21,11.25,11.43,12.01,12.53
HC65I,0.36,0.48,0.48,1.21,1.36,2.29,3.32,3.35,5.18,6.5,7.49,8.13,8.58,9.49,10.12,11.09,12.13,15.4,17.26,19.3,19.5,20.21,20.51,20.59,21,21.16,21.26,23.48
HC66I,0.29,0.44,1.07,1.59,2.03,3.23,3.53,4.01,4.48,5.4,6.06,6.35,6.59,7.24,7.46,8.17,8.57,10.37,11.18,12.03,12.29,12.52,13.13,13.2,13.27,14,14.2,15.05
HC68I,0.18,0.32,0.38,0.51,1.16,1.39,2.21,2.27,2.46,3.29,3.52,3.58,4.18,4.34,4.51,5.17,5.39,7.13,8.04,8.44,9.05,9.17,9.33,9.4,9.41,10.01,10.19,11.14
HC69I,0.26,0.35,0.47,1.1,1.3,2.13,2.49,2.57,3.38,4.29,5.06,5.2,5.59,6.15,6.5,7.19,7.46,10.24,11.02,11.32,11.54,12.11,12.32,12.44,12.45,12.59,13.13,13.57
HC70I,0.2,0.29,0.34,0.52,1.06,1.42,2.13,2.19,2.44,3.3,3.51,4,4.17,4.29,4.59,5.16,5.5,7.15,7.5,8.22,9.01,9.09,9.35,9.4,9.41,9.58,10.13,11.05
HC72I,0.24,31,0.37,57,1.1,1.55,2.14,2.25,2.44,3.53,4.07,4.17,4.53,5.12,5.3,5.53,6.15,8.02,8.41,9.33,9.49,10.04,10.24,10.33,10.34,11.09,11.23,12.31
