Values,Metric,Pose,Group
0.8979769999265046,Distance,PowerBars,CP LA
0.9149209938163514,Angle,PowerBars,CP LA
0.9141627566920651,Orientation,PowerBars,CP LA
0.7181686834203855,Distance,PowerBars,CP LA
0.7247735813261321,Angle,PowerBars,CP LA
0.7151532160152736,Orientation,PowerBars,CP LA
0.9863362836279632,Distance,PowerBars,CP LA
0.8806031032019401,Angle,PowerBars,CP LA
0.8713820229395055,Orientation,PowerBars,CP LA
0.7361617273674197,Distance,PowerBars,CP LA
0.8734604374796489,Angle,PowerBars,CP LA
0.7766498604713803,Orientation,PowerBars,CP LA
0.7585784578959481,Distance,PowerBars,CP LA
0.7245155393302554,Angle,PowerBars,CP LA
0.6672078045675656,Orientation,PowerBars,CP LA
0.8893325725011194,Distance,PowerBars,CP LA
0.8142063665406636,Angle,PowerBars,CP LA
0.839289731940497,Orientation,PowerBars,CP LA
0.7188397894155434,Distance,PowerBars,CP LA
0.7433357045131137,Angle,PowerBars,CP LA
0.7542348641261639,Orientation,PowerBars,CP LA
0.796195009668375,Distance,PowerBars,CP LA
0.894232944143356,Angle,PowerBars,CP LA
0.9080319859648032,Orientation,PowerBars,CP LA
0.8842323707299385,Distance,PowerBars,CP LA
0.8534300212909892,Angle,PowerBars,CP LA
0.8548657560704402,Orientation,PowerBars,CP LA
0.8898423120984644,Distance,PowerBars,CP LA
0.7389824501959081,Angle,PowerBars,CP LA
0.7932602929716821,Orientation,PowerBars,CP LA
0.9320130862762053,Distance,PowerBars,CP LA
0.9850742059879622,Angle,PowerBars,CP LA
0.9010582810350449,Orientation,PowerBars,CP LA
0.8977913171924121,Distance,Muscles,TD Control
0.7804302621225621,Angle,Muscles,TD Control
0.8672635203836092,Orientation,Muscles,TD Control
0.8982771459602387,Distance,Muscles,TD Control
0.9266161259599579,Angle,Muscles,TD Control
0.93711351539347,Orientation,Muscles,TD Control
0.9726324099664412,Distance,Muscles,TD Control
0.9432583592188455,Angle,Muscles,TD Control
0.944586740077091,Orientation,Muscles,TD Control
0.9264913534055619,Distance,Muscles,TD Control
0.8721614427799188,Angle,Muscles,TD Control
0.8871096847368773,Orientation,Muscles,TD Control
0.9665782989765634,Distance,Muscles,TD Control
0.8727683736762883,Angle,Muscles,TD Control
0.8511433478666748,Orientation,Muscles,TD Control
0.8809767040330474,Distance,Muscles,TD Control
0.9499266089251209,Angle,Muscles,TD Control
0.9436134115175456,Orientation,Muscles,TD Control
0.8606021544993819,Distance,Muscles,TD Control
0.8381350459927375,Angle,Muscles,TD Control
0.9568705910098021,Orientation,Muscles,TD Control
0.7863638144050311,Distance,Muscles,TD Control
0.6773100427854797,Angle,Muscles,TD Control
0.9041530852109525,Orientation,Muscles,TD Control
0.8747931965983609,Distance,Muscles,TD Control
0.9554364571580275,Angle,Muscles,TD Control
0.9505681154785934,Orientation,Muscles,TD Control
0.9257999122887273,Distance,Muscles,TD Control
0.8897967116957548,Angle,Muscles,TD Control
0.9790705673751987,Orientation,Muscles,TD Control
0.9433730943304837,Distance,Muscles,TD Control
0.9574992354482726,Angle,Muscles,TD Control
0.943909896519163,Orientation,Muscles,TD Control
0.8930984190279329,Distance,Muscles,TD Control
0.7887489873028078,Angle,Muscles,TD Control
0.9534848430324845,Orientation,Muscles,TD Control
0.9396288639115955,Distance,Muscles,TD Control
0.9619067844133458,Angle,Muscles,TD Control
0.9291855053961716,Orientation,Muscles,TD Control
0.969965373107951,Distance,PowerBars,TD Control
0.927999921595791,Angle,PowerBars,TD Control
0.911373596930124,Orientation,PowerBars,TD Control
0.993106570609332,Distance,PowerBars,TD Control
0.9691460966774385,Angle,PowerBars,TD Control
0.9114080331740839,Orientation,PowerBars,TD Control
0.956660773993809,Distance,PowerBars,TD Control
0.9290165792800804,Angle,PowerBars,TD Control
0.9599085567741776,Orientation,PowerBars,TD Control
0.7978161334810282,Distance,PowerBars,TD Control
0.8342641703175563,Angle,PowerBars,TD Control
0.7224820924008294,Orientation,PowerBars,TD Control
0.7715106759966913,Distance,PowerBars,TD Control
0.7157333542856985,Angle,PowerBars,TD Control
0.8668641818101441,Orientation,PowerBars,TD Control
0.942509379432521,Distance,PowerBars,TD Control
0.887334529738631,Angle,PowerBars,TD Control
0.8869277123278216,Orientation,PowerBars,TD Control
0.9105179330200562,Distance,PowerBars,TD Control
0.8695217852625214,Angle,PowerBars,TD Control
0.9382670266086435,Orientation,PowerBars,TD Control
0.9257574424870854,Distance,PowerBars,TD Control
0.9157752020979635,Angle,PowerBars,TD Control
0.9159328459527929,Orientation,PowerBars,TD Control
0.9025347638202585,Distance,PowerBars,TD Control
0.9325853614921806,Angle,PowerBars,TD Control
0.9374198908909932,Orientation,PowerBars,TD Control
0.8981531122032937,Distance,PowerBars,TD Control
0.9310466506192554,Angle,PowerBars,TD Control
0.9370964284184797,Orientation,PowerBars,TD Control
