Values,Metric,Pose,Group
0.939946764390054,Distance,Muscles,TD Control
0.9631079695492246,Angle,Muscles,TD Control
0.9699553786398599,Distance,PowerBars,TD Control
0.928043707851512,Angle,PowerBars,TD Control
0.9925407988154603,Distance,PowerBars,TD Control
0.9665933130599479,Angle,PowerBars,TD Control
0.9562315029245907,Distance,PowerBars,TD Control
0.9287785443399369,Angle,PowerBars,TD Control
0.9357852488574845,Distance,PowerBars,TD Control
0.9295649772176157,Angle,PowerBars,TD Control
0.7696740291530821,Distance,PowerBars,TD Control
0.7150156668589004,Angle,PowerBars,TD Control
0.9436695428544272,Distance,PowerBars,TD Control
0.8863511574482156,Angle,PowerBars,TD Control
0.9179017540818017,Distance,PowerBars,TD Control
0.8809994288689331,Angle,PowerBars,TD Control
0.926576498596038,Distance,PowerBars,TD Control
0.9149360486087543,Angle,PowerBars,TD Control
0.9027540185634385,Distance,PowerBars,TD Control
0.9328174995597979,Angle,PowerBars,TD Control
0.9003794178223924,Distance,PowerBars,TD Control
0.9309410804868419,Angle,PowerBars,TD Control
0.9565040552336853,Distance,PowerBars,TD Control
0.9848345015215587,Angle,PowerBars,TD Control
0.8887880310911451,Distance,PowerBars,TD Control
0.882252832024499,Angle,PowerBars,TD Control
0.9766920074869413,Distance,PowerBars,TD Control
0.9838386238697752,Angle,PowerBars,TD Control
0.9713373236934376,Distance,Muscles,Adult Control 1
0.9453251278304778,Angle,Muscles,Adult Control 1
0.948769319514171,Distance,Muscles,Adult Control 1
0.9170936130338541,Angle,Muscles,Adult Control 1
0.9336987811034927,Distance,Muscles,Adult Control 1
0.9274267777997605,Angle,Muscles,Adult Control 1
0.9623622408900921,Distance,Muscles,Adult Control 1
0.9151337101624909,Angle,Muscles,Adult Control 1
0.9511204747679767,Distance,Muscles,Adult Control 1
0.981543482955178,Angle,Muscles,Adult Control 1
0.9721734010928953,Distance,Muscles,Adult Control 1
0.9340567522295786,Angle,Muscles,Adult Control 1
0.9147825974117673,Distance,Muscles,Adult Control 1
0.9307800119043881,Angle,Muscles,Adult Control 1
0.9095134524326154,Distance,Muscles,Adult Control 1
0.9152543614457054,Angle,Muscles,Adult Control 1
0.9498239973731452,Distance,Muscles,Adult Control 1
0.947531526484324,Angle,Muscles,Adult Control 1
0.9194060833383613,Distance,Muscles,Adult Control 1
0.8623796647487767,Angle,Muscles,Adult Control 1
0.8890626185245889,Distance,Muscles,Adult Control 1
0.9550588168412198,Angle,Muscles,Adult Control 1
0.9578664816376343,Distance,Muscles,Adult Control 1
0.9413985850720694,Angle,Muscles,Adult Control 1
0.8576213002849107,Distance,Muscles,Adult Control 1
0.9075271023592144,Angle,Muscles,Adult Control 1
0.9023066394209945,Distance,Muscles,Adult Control 1
0.952638809289934,Angle,Muscles,Adult Control 1
0.9599379388168452,Distance,Muscles,Adult Control 1
0.9278144603709425,Angle,Muscles,Adult Control 1
0.9431729588648227,Distance,Muscles,Adult Control 1
0.9253457804186915,Angle,Muscles,Adult Control 1
0.9348682997456483,Distance,Muscles,Adult Control 1
0.9228097134884574,Angle,Muscles,Adult Control 1
0.9095446457569969,Distance,PowerBars,Adult Control 1
0.9439407004807896,Angle,PowerBars,Adult Control 1
0.9580898889177464,Distance,PowerBars,Adult Control 1
0.9775138849949955,Angle,PowerBars,Adult Control 1
0.9193257499937911,Distance,PowerBars,Adult Control 1
0.8698172810821191,Angle,PowerBars,Adult Control 1
0.9456890032398881,Distance,PowerBars,Adult Control 1
0.9748147657947864,Angle,PowerBars,Adult Control 1
0.9051574146591163,Distance,PowerBars,Adult Control 1
0.9024439558785418,Angle,PowerBars,Adult Control 1
0.9590471866927076,Distance,PowerBars,Adult Control 1
0.9278019501047037,Angle,PowerBars,Adult Control 1
0.9057232579486647,Distance,PowerBars,Adult Control 1
0.8967017475961099,Angle,PowerBars,Adult Control 1
0.9198429829545723,Distance,PowerBars,Adult Control 1
0.8840685847910595,Angle,PowerBars,Adult Control 1
0.9494969692561503,Distance,PowerBars,Adult Control 1
0.9712079081863046,Angle,PowerBars,Adult Control 1
0.9313695986290058,Distance,PowerBars,Adult Control 1
0.9480332315047678,Angle,PowerBars,Adult Control 1
0.9130673784798066,Distance,PowerBars,Adult Control 1
0.9355657330543279,Angle,PowerBars,Adult Control 1
0.947750836097421,Distance,PowerBars,Adult Control 1
0.944276879124382,Angle,PowerBars,Adult Control 1
0.8573699537602051,Distance,PowerBars,Adult Control 1
0.9870553007733536,Angle,PowerBars,Adult Control 1
0.9106498373645328,Distance,PowerBars,Adult Control 1
0.9632018919561709,Angle,PowerBars,Adult Control 1
0.9630708912366038,Distance,PowerBars,Adult Control 1
0.9669519396450467,Angle,PowerBars,Adult Control 1
0.9034244202398098,Distance,PowerBars,Adult Control 1
0.8996414675963518,Angle,PowerBars,Adult Control 1
0.951768998360957,Distance,PowerBars,Adult Control 1
0.9879399948024159,Angle,PowerBars,Adult Control 1
0.9674064179653137,Distance,Muscles,Adult Control 2
0.9522443698546549,Angle,Muscles,Adult Control 2
0.933814134754683,Distance,Muscles,Adult Control 2
0.9681514546282232,Angle,Muscles,Adult Control 2
0.9674064179653137,Distance,Muscles,Adult Control 2
0.9522443698546549,Angle,Muscles,Adult Control 2
0.9490831729847927,Distance,Muscles,Adult Control 2
0.9631337282946244,Angle,Muscles,Adult Control 2
0.9680938886784033,Distance,Muscles,Adult Control 2
0.9482796408217421,Angle,Muscles,Adult Control 2
0.9548843353496161,Distance,Muscles,Adult Control 2
0.976938682845466,Angle,Muscles,Adult Control 2
0.9647181419276429,Distance,Muscles,Adult Control 2
0.9449061214745094,Angle,Muscles,Adult Control 2
0.9825462537465772,Distance,Muscles,Adult Control 2
0.9620826296985684,Angle,Muscles,Adult Control 2
0.9420848251799875,Distance,Muscles,Adult Control 2
0.8520094588591582,Angle,Muscles,Adult Control 2
0.9483831098709292,Distance,Muscles,Adult Control 2
0.9147353050711553,Angle,Muscles,Adult Control 2
0.91725526621652,Distance,Muscles,Adult Control 2
0.923745051830557,Angle,Muscles,Adult Control 2
0.9179453660808622,Distance,Muscles,Adult Control 2
0.9331442978529961,Angle,Muscles,Adult Control 2
0.9286375116034998,Distance,Muscles,Adult Control 2
0.8684927642547876,Angle,Muscles,Adult Control 2
0.823028705614406,Distance,Muscles,Adult Control 2
0.7890971609463087,Angle,Muscles,Adult Control 2
0.9719115515692398,Distance,Muscles,Adult Control 2
0.9764680924407125,Angle,Muscles,Adult Control 2
0.9362841610751139,Distance,Muscles,Adult Control 2
0.883026845715061,Angle,Muscles,Adult Control 2
0.9090677356748726,Distance,Muscles,Adult Control 2
0.9557555270442641,Angle,Muscles,Adult Control 2
0.8723860527999286,Distance,PowerBars,Adult Control 2
0.9555559186280085,Angle,PowerBars,Adult Control 2
0.9495473963340559,Distance,PowerBars,Adult Control 2
0.9746810333312772,Angle,PowerBars,Adult Control 2
0.9672157082405555,Distance,PowerBars,Adult Control 2
0.9800528402156883,Angle,PowerBars,Adult Control 2
0.9703540921560324,Distance,PowerBars,Adult Control 2
0.9626231115551348,Angle,PowerBars,Adult Control 2
0.9353108878920204,Distance,PowerBars,Adult Control 2
0.9052886555954276,Angle,PowerBars,Adult Control 2
0.9758071536764128,Distance,PowerBars,Adult Control 2
0.9322156351581717,Angle,PowerBars,Adult Control 2
0.9704922888694737,Distance,PowerBars,Adult Control 2
0.9120194874212615,Angle,PowerBars,Adult Control 2
0.9754953980489245,Distance,PowerBars,Adult Control 2
0.9592561722913351,Angle,PowerBars,Adult Control 2
0.9322779201800675,Distance,PowerBars,Adult Control 2
0.8830722357769865,Angle,PowerBars,Adult Control 2
0.9076678078090827,Distance,PowerBars,Adult Control 2
0.8782545935298847,Angle,PowerBars,Adult Control 2
0.9675824909886059,Distance,PowerBars,Adult Control 2
0.9819078267827317,Angle,PowerBars,Adult Control 2
0.8952245594540295,Distance,PowerBars,Adult Control 2
0.9331819956084487,Angle,PowerBars,Adult Control 2
0.9827147108944001,Distance,PowerBars,Adult Control 2
0.965181580753232,Angle,PowerBars,Adult Control 2
0.975471231428312,Distance,PowerBars,Adult Control 2
0.9910007751662924,Angle,PowerBars,Adult Control 2
0.9266877436360087,Distance,PowerBars,Adult Control 2
0.9254905443124408,Angle,PowerBars,Adult Control 2
0.9292174548275953,Distance,PowerBars,Adult Control 2
0.9654006685468636,Angle,PowerBars,Adult Control 2
