Subject ID,Trunk Angular Displacement,Trunk Rotation Angle,Trunk linear Distance,Elbow Flexion L,Elbow Flexion R,Task,Group
TDBI01_2023,0.0029922056639152942,0.002787292188359772,0.03563358811386959,1.7873274575088363,1.2081483017602472,Task 1,TD
TDBI02_2023,0.0015406564045131455,0.002066914267845396,0.023289530393314023,2.0037868817184292,1.2489558149087965,Task 1,TD
TDBI03_2023,0.0029748737496871863,0.0038068777206130867,0.03099562149298526,1.6438923866762434,1.7883972306554483,Task 1,TD
TDBI04_2023,0.0020083059278331447,0.0025241202280345707,0.02327347114308973,2.234925147697159,1.2815105567621146,Task 1,TD
TDBI05_2023,0.002073120358126067,0.0027660874248189226,0.026296531699460984,1.8107775155910846,1.460219065755937,Task 1,TD
TDBI06_2023,0.002465455358767937,0.0028882701277642723,0.03034356037093162,1.8106393604385378,1.307883129521293,Task 1,TD
TDBI07_2023,0.0036166569256107567,0.004375964931537834,0.029224432163080544,1.9129232319487155,1.6814351144379522,Task 1,TD
TDBI08_2023,0.003295169639640885,0.0009269199502545953,0.004710386979460082,1.9652398379029945,1.8504913890729613,Task 1,TD
TDBI09_2023,0.001725826619451061,0.002101477229965025,0.018977695497617703,1.7074099385275234,1.3779280575641857,Task 1,TD
TDUNI01_2023,0.004097744559092381,0.0004997650285178899,0.0004224407748195308,1.9734635147297053,1.0965134914321317,Task 2,TD
TDUNI02_2023,0.002551016441663321,0.0005673209135102876,0.002801851835433571,2.2273184694010184,1.5592811037628278,Task 2,TD
TDUNI03_2023,0.00461144096511349,0.000974365604250525,0.004734172258023087,1.6615475201269554,1.7868157450674071,Task 2,TD
TDUNI04_2023,0.0008404792736385625,0.003741210941757969,0.03014417119497807,2.2195712052467957,1.6277771074722547,Task 2,TD
TDUNI05_2023,0.0032338193247763228,0.0004675005763711481,0.002654769503636267,1.9485479169448952,1.5964429396419983,Task 2,TD
TDUNI06_2023,0.0034277312727071735,0.0006728397914921201,0.004247395417641307,1.9451737814996584,1.4762007466293718,Task 2,TD
TDUNI07_2023,0.004604807189355203,0.0008526978236221735,0.003655107519329887,1.8919195405564642,1.333189171114578,Task 2,TD
TDUNI08_2023,0.003295169639640885,0.0009269199502545953,0.004710386979460082,1.9652398379029945,1.8504913890729613,Task 2,TD
TDUNI09_2023,0.003234922221872951,0.0007496961353600712,0.0032989348863862542,1.7601155849337746,1.5201208292177697,Task 2,TD
